Location,Percent_Urban_2020,Classification
Bayambang,4.774786646099945,Rural
Binalonan,53.52240076620198,Suburban
Binmaley,44.52066619859348,Suburban
Bolinao,38.37268841019779,Rural
Bugallon,40.503188282062915,Suburban
Burgos,25.14632195039791,Rural
Calasiao,60.35572453742871,Suburban
City of Dagupan,85.48266801298895,Urban
Dasol,0.0,Rural
Infanta,0.0,Rural
Labrador,18.511058893737644,Rural
Lingayen (Capital),46.41968661814941,Suburban
Mabini,10.724276101912753,Rural
Malasiqui,8.491620892560135,Rural
Manaoag,30.589782365704515,Rural
Mangaldan,45.04130405972523,Suburban
Mangatarem,3.026864843740151,Rural
Mapandan,33.4542014819486,Rural
Natividad,7.485157735439059,Rural
Pozorrubio,26.857043450333872,Rural
Rosales,23.3889463506768,Rural
City of San Carlos,29.996981852169174,Rural
San Fabian,17.964496499977123,Rural
San Jacinto,28.817839507564653,Rural
San Manuel,48.16937222457666,Suburban
San Nicolas,0.0,Rural
San Quintin,22.510300176574454,Rural
Santa Barbara,45.04105784980529,Suburban
Santa Maria,3.2729398012857978,Rural
Santo Tomas,56.08952816238742,Suburban
Sison,20.787461773700304,Rural
Sual,29.4083037016193,Rural
Tayug,27.80000442076877,Rural
Umingan,16.96940602537821,Rural
Urbiztondo,21.045052828626456,Rural
City of Urdaneta,76.40980238903838,Suburban
Villasis,45.35028517840946,Suburban
Laoac,24.396390060947024,Rural

REGION II (CAGAYAN VALLEY),19.47471121163054,Rural
BATANES,23.333864372577136,Rural
Basco (Capital),46.17001155826416,Suburban
Itbayat,0.0,Rural
Ivana,0.0,Rural
Mahatao,0.0,Rural
Sabtang,0.0,Rural
Uyugan,0.0,Rural
CAGAYAN,18.252912849804076,Rural
Abulug,19.043350010121753,Rural
Alcala,5.753723211042499,Rural
Allacapan,6.087869671340183,Rural
Amulung,5.638111888111888,Rural
Aparri,37.009544008483566,Rural
Baggao,24.803710414458767,Rural
Ballesteros,12.102760380422176,Rural
Buguey,0.0,Rural
Calayan,0.0,Rural
Camalaniugan,6.054842288793787,Rural
Claveria,11.576802507836991,Rural
Enrile,8.423920446805612,Rural
Gattaran,3.249312090226585,Rural
Gonzaga,6.715451055662188,Rural
Iguig,0.0,Rural
Lal-lo,8.238770443026286,Rural
Lasam,5.050333535476046,Rural
Pamplona,0.0,Rural
Peñablanca,6.403578528827038,Rural
Piat,14.118121346502722,Rural
Rizal,0.0,Rural
Sanchez-Mira,9.493961168017123,Rural
Santa Ana,44.06803407307778,Suburban
Santa Praxedes,0.0,Rural
Santa Teresita,2.9479384866908496,Rural
Santo Niño (Faire),0.0,Rural
Solana,17.059189326700206,Rural
Tuao,1.5788650930123498,Rural
Tuguegarao City (Capital),63.405557492755534,Suburban
ISABELA,22.248961433075042,Rural
Alicia,31.824457860681697,Rural
Angadanan,0.0,Rural
Aurora,7.3782802217307015,Rural
Benito Soliven,0.0,Rural
Burgos,26.593701996927805,Rural
Cabagan,17.156799079726145,Rural
Cabatuan,10.005001250312578,Rural
City of Cauayan,42.903565476314995,Suburban
Cordon,1.1381973879553329,Rural
Dinapigue,0.0,Rural
Divilacan,0.0,Rural
Echague,9.909512498586134,Rural
Gamu,16.835752732017614,Rural
City of Ilagan (Capital),24.668495367151653,Rural
Jones,4.896116419742263,Rural
Luna,0.0,Rural
Maconacon,0.0,Rural
Delfin Albano (Magsaysay),0.0,Rural
Mallig,3.4680824639841035,Rural
Naguilian,9.14525867171777,Rural
Palanan,0.0,Rural
Quezon,17.31331138809779,Rural
Quirino,0.0,Rural
Ramon,59.27498540417175,Suburban
Reina Mercedes,11.831541218637993,Rural
Roxas,38.87057822870943,Rural
San Agustin,0.0,Rural
San Guillermo,0.0,Rural
San Isidro,14.284129566632156,Rural
San Manuel,0.0,Rural
San Mariano,4.193001130995942,Rural
San Mateo,22.498237403057168,Rural
San Pablo,0.0,Rural
Santa Maria,0.0,Rural
City of Santiago,78.52941176470588,Suburban
Santo Tomas,0.0,Rural
Tumauini,6.509477969551758,Rural
NUEVA VIZCAYA,16.895575676675406,Rural
Ambaguio,0.0,Rural
Aritao,8.102471739697135,Rural
Bagabag,13.829143082795841,Rural
Bambang,28.24033411604438,Rural
Bayombong (Capital),29.180080928611513,Rural
Diadi,0.0,Rural
Dupax del Norte,15.068328577864545,Rural
Dupax del Sur,6.092159819072748,Rural
Kasibu,0.0,Rural
Kayapa,0.0,Rural
Quezon,23.063812097277072,Rural
Santa Fe,0.0,Rural
Solano,42.88755801308071,Suburban
Villaverde,0.0,Rural
Alfonso Castaneda,0.0,Rural
QUIRINO,9.918656906803776,Rural
Aglipay,8.712639187341278,Rural
Cabarroguis (Capital),13.315241702203801,Rural
Diffun,14.142098320915474,Rural
Maddela,12.558923381286178,Rural
Saguday,0.0,Rural
Nagtipunan,0.0,Rural

REGION III (CENTRAL LUZON),66.25454872143133,Suburban
AURORA,19.174973488865323,Rural
Baler (Capital),68.0940961516501,Suburban
Casiguran,7.133714801987652,Rural
Dilasag,0.0,Rural
Dinalungan,0.0,Rural
Dingalan,20.639931128488413,Rural
Dipaculao,0.0,Rural
Maria Aurora,5.638596022954758,Rural
San Luis,17.45574034334764,Rural
BATAAN,59.37239636126289,Suburban
Abucay,65.75469942304113,Suburban
Bagac,0.0,Rural
City of Balanga (Capital),69.54873143712862,Suburban
Dinalupihan,40.667800252095866,Suburban
Hermosa,47.89070671332464,Suburban
Limay,91.7250102207686,Urban
Mariveles,95.96207607470025,Urban
Morong,100.0,Urban
Orani,32.26521850388104,Rural
Orion,41.123233121061034,Suburban
Pilar,39.9013819503017,Rural
Samal,9.500809357213722,Rural
BULACAN,85.6630150799835,Urban
Angat,74.80988158556472,Suburban
Balagtas (Bigaa),93.77807785193072,Urban
Baliuag,81.94752774974774,Urban
Bocaue,85.82298531949199,Urban
Bulacan,86.98173133740397,Urban
Bustos,89.03742276454358,Urban
Calumpit,74.90525107410252,Suburban
Guiguinto,91.55931755058855,Urban
Hagonoy,76.97380252982435,Suburban
City of Malolos (Capital),90.2610753132789,Urban
Marilao,100.0,Urban
City of Meycauayan,96.27115339451329,Urban
Norzagaray,97.60847836312324,Urban
Obando,88.53579645870153,Urban
